"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 13:06:50 IST 2022","Wed Jun 22 13:07:17 IST 2022","26669","","frames","","frames","launch the browser","launch the browser",""
"passed","Wed Jun 22 13:06:00 IST 2022","Wed Jun 22 13:06:14 IST 2022","13838","","amazon","","amazon","launch the app","launch the app",""
"failed","Wed Jun 22 13:05:40 IST 2022","Wed Jun 22 13:05:52 IST 2022","12163","","jquery_app","","jquery_app","launch the app","launch the app",""
"broken","Wed Jun 22 13:07:25 IST 2022","Wed Jun 22 13:07:37 IST 2022","12305","","app","","app","launch app","launch app",""
"passed","Wed Jun 22 13:03:10 IST 2022","Wed Jun 22 13:04:05 IST 2022","55051","","vtiger","","vtiger","launch app","launch app",""
"passed","Wed Jun 22 13:04:30 IST 2022","Wed Jun 22 13:05:34 IST 2022","64234","","vtiger","","vtiger","launch","launch",""
"failed","Wed Jun 22 16:40:59 IST 2022","Wed Jun 22 16:41:12 IST 2022","12611","","jquery_app","","jquery_app","launch the app","launch the app",""
"failed","Wed Jun 22 15:50:00 IST 2022","Wed Jun 22 15:50:15 IST 2022","15722","","jquery_app","","jquery_app","launch the app","launch the app",""
"passed","Wed Jun 22 13:07:45 IST 2022","Wed Jun 22 13:07:45 IST 2022","240","","vtiger","","vtiger","checkbox","checkbox",""
"failed","Wed Jun 22 13:02:05 IST 2022","Wed Jun 22 13:02:39 IST 2022","33790","","fb","","fb","launch app","launch app",""
"passed","Wed Jun 22 13:06:20 IST 2022","Wed Jun 22 13:06:43 IST 2022","23186","","vtiger","","vtiger","launch the app","launch the app",""
